FR023C;Saint-Étienne;;;
FR023F;Saint-Étienne;;;
FR024C;Angers;;;
FR024F;Angers;;;
FR025C;Mulhouse;;;
FR025F;Mulhouse;;;
FR026C;Lens;;;
FR026F;Lens;;;
FR027C;Metz;;;
FR027F;Metz;;;
FR028C;Nîmes;;;
FR028F;Nîmes;;;
FR029C;Le Mans;;;
FR029F;Le Mans;;;
FR030C;Saint-Denis;;;
FR030F;Saint-Denis;;;
FR031C;Caen;;;
FR031F;Caen;;;
FR032C;Limoges;;;
FR032F;Limoges;;;
FR033C;Aix-en-Provence;;;
FR034C;Brest;;;
FR034F;Brest;;;
FR035C;Amiens;;;
FR035F;Amiens;;;
FR036C;Dunkerque;;;
FR036F;Dunkerque;;;
FR037C;Perpignan;;;
FR037F;Perpignan;;;
FR038C;Annecy;;;
FR038F;Annecy;;;
FR039C;Besançon;;;
FR039F;Besançon;;;
FR040C;Bayonne;;;
FR040F;Bayonne;;;
FR041C;La Seyne-sur-Mer;;;
FR042C;Pau;;;
FR042F;Pau;;;
FR043C;Avignon;;;
FR043F;Avignon;;;
FR044C;Troyes;;;
FR044F;Troyes;;;
FR045C;Valenciennes;;;
FR045F;Valenciennes;;;
FR046C;Fort-de-France;;;
FR046F;Fort-de-France;;;
FR047C;Poitiers;;;
FR047F;Poitiers;;;
FR048C;Valence;;;
FR048F;Valence;;;
FR049C;Fréjus;;;
FR049F;Fréjus;;;
FR050C;Chambéry;;;
FR050F;Chambéry;;;
FR051C;Mantes-la-Jolie;;;
FR052C;Douai;;;
FR052F;Douai;;;
FR053C;Melun;;;
FR054C;La Rochelle;;;
FR054F;La Rochelle;;;
FR055C;Lorient;;;
FR055F;Lorient;;;
FR056C;Cherbourg-en-Cotentin;;;
FR056F;Cherbourg-en-Cotentin;;;
FR057C;Béziers;;;
FR057F;Béziers;;;
FR058C;Chartres;;;
FR058F;Chartres;;;
FR059C;Creil;;;
FR060C;Boulogne-sur-Mer;;;
FR060F;Boulogne-sur-mer;;;
FR061C;Calais;;;
FR061F;Calais;;;
FR062C;Mamoudzou;;;
FR062F;Mamoudzou;;;
FR063C;Montbéliard;;;
FR063F;Montbéliard;;;
FR064C;Arras;;;
FR064F;Arras;;;
FR065C;Colmar;;;
FR065F;Colmar;;;
FR066C;Martigues;;;
FR067C;Meaux;;;
FR068C;Bourges;;;
FR068F;Bourges;;;
FR069C;Saint-Brieuc;;;
FR069F;Saint-Brieuc;;;
FR070C;Quimper;;;
FR070F;Quimper;;;
FR071C;Belfort;;;
FR071F;Belfort;;;
FR072C;Cayenne;;;
FR072F;Cayenne;;;
FR073C;Hayange;;;
FR073F;Hayange;;;
FR074C;Saint-Louis;;;
FR074F;Saint-Louis;;;
FR075C;Vannes;;;
FR075F;Vannes;;;
FR076C;Annemasse-Geneva (French part);;;
FR076F;Annemasse-Geneva (French part);;;
FR077C;Saint-Louis-Bâle (French part);;;
FR077F;Saint-Louis-Bâle (French part);;;
HR;Hrvatska;;;
HR001C;Zagreb;;;
HR001F;Zagreb;;;
HR002C;Rijeka;;;
HR002F;Rijeka;;;
HR003C;Slavonski Brod;;;
HR003F;Slavonski Brod;;;
HR004C;Osijek;;;
HR004F;Osijek;;;
HR005C;Split;;;
HR005F;Split;;;
HR006C;Pula/Pola;;;
HR006F;Pula/Pola;;;
HR007C;Zadar;;;
HR007F;Zadar;;;
HU;Magyarország;;;
HU001C;Budapest;;;
HU001F;Budapest;;;
HU002C;Miskolc;;;
HU002F;Miskolc;;;
HU003C;Nyíregyháza;;;
HU003F;Nyíregyháza;;;
HU004C;Pécs;;;
HU004F;Pécs;;;
HU005C;Debrecen;;;
HU005F;Debrecen;;;
HU006C;Szeged;;;
HU006F;Szeged;;;
HU007C;Gyõr;;;
HU007F;Győr;;;
HU008C;Kecskemét;;;
HU008F;Kecskemét;;;
HU009C;Székesfehérvár;;;
HU009F;Székesfehérvár;;;
HU010C;Szombathely;;;
HU010F;Szombathely;;;
HU011C;Szolnok;;;
HU011F;Szolnok;;;
HU012C;Tatabánya;;;
HU012F;Tatabánya;;;
HU013C;Veszprém;;;
HU013F;Veszprém;;;
HU014C;Békéscsaba;;;
HU014F;Békéscsaba;;;
HU015C;Kaposvár;;;
HU015F;Kaposvár;;;
HU016C;Eger;;;
HU016F;Eger;;;
HU017C;Dunaújváros;;;
HU017F;Dunaújváros;;;
HU018C;Zalaegerszeg;;;
HU018F;Zalaegerszeg;;;
HU019C;Sopron;;;
HU019F;Sopron;;;
IE;Ireland;;;
IE001C;Dublin;;;
IE001F;Dublin;;;
IE002C;Cork;;;
IE002F;Cork;;;
IE003C;Limerick;;;
IE003F;Limerick;;;
IE004C;Galway;;;
IE004F;Galway;;;
IE005C;Waterford;;;
IE005F;Waterford;;;
IS;íslandi;;;
IS001C;Reykjavík;;;
IS001F;Reykjavík;;;
IT;Italia;;;
IT001C;Roma;;;
IT001F;Roma;;;
IT002C;Milano;;;
IT002F;Milano;;;
IT003C;Napoli;;;
IT003F;Napoli;;;
IT004C;Torino;;;
IT004F;Torino;;;
IT005C;Palermo;;;
IT005F;Palermo;;;
IT006C;Genova;;;
IT006F;Genova;;;
IT007C;Firenze;;;
IT007F;Firenze;;;
IT008C;Bari;;;
IT008F;Bari;;;
IT009C;Bologna;;;
IT009F;Bologna;;;
IT010C;Catania;;;
IT010F;Catania;;;
IT011C;Venezia;;;
IT011F;Venezia;;;
IT012C;Verona;;;
IT012F;Verona;;;
IT013C;Cremona;;;
IT013F;Cremona;;;
IT014C;Trento;;;
IT014F;Trento;;;
IT015C;Trieste;;;
IT015F;Trieste;;;
IT016C;Perugia;;;
IT016F;Perugia;;;
IT017C;Ancona;;;
IT017F;Ancona;;;
IT018C;Pescara;;;
IT018F;Pescara;;;
IT019C;Campobasso;;;
IT019F;Campobasso;;;
IT020C;Caserta;;;
IT020F;Caserta;;;
IT021C;Taranto;;;
IT021F;Taranto;;;
IT022C;Potenza;;;
IT022F;Potenza;;;
IT023C;Catanzaro;;;
IT023F;Catanzaro;;;
IT024C;Reggio di Calabria;;;
IT024F;Reggio di Calabria;;;
IT025C;Sassari;;;
IT025F;Sassari;;;
IT026C;Cagliari;;;
IT026F;Cagliari;;;
IT027C;Padova;;;
IT027F;Padova;;;
IT028C;Brescia;;;
IT028F;Brescia;;;
IT029C;Modena;;;
IT029F;Modena;;;
IT030C;Foggia;;;
IT030F;Foggia;;;
IT031C;Salerno;;;
IT031F;Salerno;;;
IT032C;Piacenza;;;
IT032F;Piacenza;;;
IT033C;Bolzano;;;
IT033F;Bolzano;;;
IT034C;Udine;;;
IT034F;Udine;;;
IT035C;La Spezia;;;
IT035F;La Spezia;;;
IT036C;Lecce;;;
IT036F;Lecce;;;
IT037C;Barletta;;;
IT037F;Barletta;;;
IT038C;Pesaro;;;
IT038F;Pesaro;;;
IT039C;Como;;;
IT039F;Como;;;
IT040C;Pisa;;;
IT040F;Pisa;;;
IT041C;Treviso;;;
IT041F;Treviso;;;
IT042C;Varese;;;
IT042F;Varese;;;
IT043C;Asti;;;
IT043F;Asti;;;
IT044C;Pavia;;;
IT044F;Pavia;;;
IT045C;Massa;;;
IT045F;Massa;;;
IT046C;Cosenza;;;
IT046F;Cosenza;;;
IT047C;Savona;;;
IT047F;Savona;;;
IT048C;Matera;;;
IT048F;Matera;;;
IT049C;Acireale;;;
IT049F;Acireale;;;
IT050C;Avellino;;;
IT050F;Avellino;;;
IT051C;Pordenone;;;
IT051F;Pordenone;;;
IT052C;Lecco;;;
IT052F;Lecco;;;
IT053C;Altamura;;;
IT053F;Altamura;;;
IT054C;Bitonto;;;
IT055C;Molfetta;;;
IT056C;Battipaglia;;;
IT056F;Battipaglia;;;
IT057C;Bisceglie;;;
IT057F;Bisceglie;;;
IT058C;Carpi;;;
IT058F;Carpi;;;
IT059C;Cerignola;;;
IT059F;Cerignola;;;
IT060C;Gela;;;
IT060F;Gela;;;
IT061C;Bagheria;;;
IT062C;Anzio;;;
IT063C;Sassuolo;;;
IT063F;Sassuolo;;;
IT064C;Messina;;;
IT064F;Messina;;;
IT065C;Prato;;;
IT065F;Prato;;;
IT066C;Parma;;;
IT066F;Parma;;;
IT067C;Livorno;;;
IT067F;Livorno;;;
IT068C;Reggio nell'Emilia;;;
IT068F;Reggio nell'Emilia;;;
IT069C;Ravenna;;;
IT069F;Ravenna;;;
IT070C;Ferrara;;;
IT070F;Ferrara;;;
IT071C;Rimini;;;
IT071F;Rimini;;;
IT072C;Siracusa;;;
IT072F;Siracusa;;;
IT073C;Bergamo;;;
IT073F;Bergamo;;;
IT074C;Forlì;;;
